nodeName	altName	nodeAttr[nodesPresent, ]
TraesCS1B02G388500	GO:0016020,GO:0009765	brown
TraesCS1B02G396800	GO:0003723	brown
TraesCS1B02G399600	GO:0005737,GO:0003824,GO:0051539,GO:0051536,GO:0006779,GO:0004109	brown
TraesCS1B02G418600		brown
TraesCS1B02G429200	GO:0003824	brown
TraesCS1B02G431200	GO:0005840,GO:0006364,GO:0043022,GO:0070569	brown
TraesCS1B02G434400	GO:0003723,GO:0005525	brown
TraesCS1B02G436700	GO:0003735,GO:0006412,GO:0005840	brown
TraesCS1B02G437600	GO:0004252,GO:0006508,GO:0005515	brown
TraesCS1B02G439700		brown
TraesCS1B02G440200		brown
TraesCS1B02G445200	GO:0005576,GO:0005179	brown
TraesCS1B02G448100	GO:0005975,GO:0005576,GO:0004650,GO:0071555	brown
TraesCS1B02G462200	GO:0000427,GO:0042793,GO:0009416,GO:0009508,GO:0010027,GO:0009534,GO:0009658,GO:0005515	brown
TraesCS1B02G462500	GO:0003677	brown
TraesCS1B02G472100	GO:0004252,GO:0004176,GO:0006508	brown
TraesCS1D02G000800	GO:0009535,GO:0003755,GO:0006457,GO:0010275,GO:0009533,GO:0043424,GO:0031977,GO:0016853,GO:0000413,GO:0005737,GO:0016018	brown
TraesCS1D02G003700	GO:0003735,GO:0006412,GO:0005840	brown
TraesCS1D02G004400		brown
TraesCS1D02G030600	GO:0005507,GO:0048046,GO:0009579,GO:0042742,GO:0009570	brown
TraesCS1D02G034700		brown
TraesCS1D02G035600	GO:0016021,GO:0016020	brown
TraesCS1D02G056100	GO:0003723,GO:0004540	brown
TraesCS1D02G056900		brown
TraesCS1D02G061400	GO:0005515	brown
TraesCS1D02G075900		brown
TraesCS1D02G080700	,GO:0016021	brown
TraesCS1D02G092200	GO:0004252,GO:0006508,GO:0005515	brown
TraesCS1D02G096400	GO:0046872,GO:0004601,GO:0020037,GO:0006979,GO:0005576,GO:0042744,GO:0055114	brown
TraesCS1D02G098300		brown
TraesCS1D02G105800	GO:0009767	brown
TraesCS1D02G126800	GO:0016021,GO:0004252	brown
TraesCS1D02G141100		brown
TraesCS1D02G143900	GO:0005515	brown
TraesCS1D02G148500	GO:0005524,GO:0003723,GO:0000166,GO:0004831,GO:0006418,GO:0004812,GO:0006437	brown
TraesCS1D02G149700	GO:0003723,GO:0033897	brown
TraesCS1D02G157400	GO:0030170,GO:0003824,GO:0009058	brown
TraesCS1D02G165100	GO:0005524,GO:0009058,GO:0016874,GO:0004326,GO:0009396,GO:0006730	brown
TraesCS1D02G174900	GO:0009507	brown
TraesCS1D02G176300	GO:0003723	brown
TraesCS1D02G197400	GO:0009535,GO:0010287	brown
TraesCS1D02G199100	GO:0009507,GO:0016301,GO:0016310,GO:0016740,GO:0004765	brown
TraesCS1D02G202100	GO:0009535,GO:0004252,GO:0004176,GO:0006508,GO:0048510,GO:0009840,GO:0009941,GO:0009658	brown
TraesCS1D02G217600	GO:0005737,GO:0006457	brown
TraesCS1D02G226100	GO:0016021,GO:0015995,GO:0016765,GO:0046408,GO:0009534	brown
TraesCS1D02G242500	GO:0005634,GO:0003723,GO:0009535,GO:0003735,GO:0006412,GO:0015934,GO:0009570,GO:0009941	brown
